date,sleeve,overlay,combined
2024-02-15,2189494.7219855874,-369157.40268002613,1820337.3193055613
2024-02-16,2189494.7219855874,-365846.36290994205,1823648.3590756455
2024-02-20,2189494.7219855874,-352878.12381044606,1836616.5981751413
2024-02-21,2277074.510865011,-359224.2833697739,1917850.2274952368
2024-02-22,2277074.510865011,-384333.0016262448,1892741.509238766
2024-02-23,2277074.510865011,-385160.7615687658,1891913.749296245
2024-02-26,2314252.09103322,-390403.2412047323,1923848.8498284875
2024-02-27,2314252.09103322,-393162.44101313566,1921089.650020084
2024-02-28,2314252.09103322,-389023.6413005306,1925228.4497326892
2024-02-29,2314252.09103322,-398956.7606107828,1915295.330422437
2024-03-01,2314252.09103322,-409165.7999018754,1905086.2911313444
2024-03-04,2314252.09103322,-393714.2809748163,1920537.8100584035
2024-03-05,2314252.09103322,-408889.879921035,1905362.211112185
2024-03-06,2306887.506977736,-408889.879921035,1897997.627056701
2024-03-07,2299430.568366655,-409165.7999018754,1890264.7684647797
2024-03-08,2115476.1228973228,-401991.8804000265,1713484.2424972963
2024-03-11,2088554.2958468117,-397853.08068742143,1690701.2151593904
2024-03-12,2088554.2958468117,-408613.9599401947,1679940.335906617
2024-03-13,2064294.899852893,-406958.44005515263,1657336.4597977404
2024-03-14,2064294.899852893,-397577.1607065811,1666717.739146312
2024-03-15,2034730.038732339,-403095.56032338785,1631634.478408951
2024-03-18,1969811.5780617537,-398404.9206491021,1571406.6574126515
2024-03-19,2070692.633512352,-406852.25958592846,1663840.3739264235
2024-03-20,2209456.2593105333,-439410.3198612799,1770045.9394492535
2024-03-21,2117228.9134906363,-465707.2146990638,1651521.6987915724
2024-03-22,2174228.632884132,-469463.91396160435,1704764.718922528
2024-03-25,2156953.3925242233,-473220.6132241449,1683732.7793000783
2024-03-26,2103123.1754798903,-469463.91396160435,1633659.261518286
2024-03-27,2166216.870744287,-480483.5651317233,1685733.3056125636
2024-03-28,2166216.870744287,-486995.17718679353,1679221.6935574934
2024-04-01,2166216.870744287,-506530.01335200446,1659686.8573922827
2024-04-02,2166216.870744287,-481986.2448367395,1684230.6259075475
2024-04-03,2166216.870744287,-486995.17718679353,1679221.6935574934
2024-04-04,2166216.870744287,-455689.3499989556,1710527.5207453314
2024-04-05,2191129.3450532,-470716.14704911783,1720413.1980040823
2024-04-08,2155469.3309682654,-475725.07939917187,1679744.2515690937
2024-04-09,2263242.797516679,-495009.4689468801,1768233.3285697987
2024-04-10,2243426.3859255193,-468211.6808740908,1775214.7050514284
2024-04-11,2333163.4413625402,-499517.50806192873,1833645.9333006116
2024-04-12,2333163.4413625402,-443167.0191238205,1889996.4222387196
2024-04-15,2333163.4413625402,-423131.2897236042,1910032.151638936
2024-04-16,2462207.54281074,-433149.1544237123,2029058.3883870277
2024-04-17,2368469.9646949614,-354258.46991036076,2014211.4947846006
2024-04-18,2280546.4215611285,-360519.6353479283,1920026.7862132
2024-04-19,2120908.1720518493,-274115.5523094957,1846792.6197423537
2024-04-22,2226953.580654442,-312934.77802241466,1914018.8026320273
2024-04-23,2261536.930034456,-361771.86843544187,1899765.0615990139
2024-04-24,2223111.0396908056,-385564.2970981987,1837546.742592607
2024-04-25,2334266.591675346,-413113.42502349603,1921153.1666518496
2024-04-26,2349585.912958905,-445671.48529884755,1903914.4276600576
2024-04-29,2386352.1309286347,-458193.8161739827,1928158.3147546519
