date,atr5,or30,thr80,pos10,on,ret,n_fills,n_stops
2025-08-25,2.67203992489745,0.9625242054903733,2.407502827673305,0.17751479289941524,False,0.0,0,0
2025-08-26,2.742486731786751,0.8315403849508509,2.407502827673305,0.8881118881118888,False,0.0,0,0
2025-08-27,2.905832129037049,2.012049562350797,2.407502827673305,0.6412429378531036,False,0.0,0,0
2025-08-28,2.819477664003693,1.144037055639272,2.407502827673305,0.6487804878048805,False,0.0,0,0
2025-08-29,2.5909498337862447,1.048346623543186,2.404367551569421,0.37234042553190977,False,0.0,0,0
2025-09-02,2.114434146227732,3.2495055100310823,2.404367551569421,0.5165217391304345,False,0.0,0,0
2025-09-03,2.3952727126376407,1.1135857461024432,2.407502827673305,0.15897435897436107,False,0.0,0,0
2025-09-04,2.252352554728079,1.4860436207481045,2.407502827673305,0.5893536121673058,False,0.0,0,0
2025-09-05,2.339966022540696,2.9683267923276633,2.407502827673305,0.037243947858471044,False,0.0,0,0
2025-09-08,3.593387822072079,1.516038398501524,2.415047280017047,0.13513513513513276,False,0.0,0,0
2025-09-09,3.5917205426987406,2.1620029455080925,2.415047280017047,1.0,False,0.0,0,0
2025-09-10,3.689978498129932,1.9058754750073026,2.407502827673305,0.6656441717791391,False,0.0,0,0
2025-09-11,3.703075940484242,2.5039305887148497,2.407502827673305,0.9325581395348791,False,0.0,0,0
2025-09-12,4.10460491700542,1.2267533049518247,2.415047280017047,0.4657534246575394,False,0.0,0,0
2025-09-15,2.9877098036421588,1.1919487237152842,2.415047280017047,0.7452830188679288,False,0.0,0,0
2025-09-16,3.1419654915267605,1.6566093589889541,2.415047280017047,0.0790378006872818,False,0.0,0,0
2025-09-17,2.841261745486371,1.922089773569826,2.415047280017047,0.9970326409495576,False,0.0,0,0
2025-09-18,3.086474010100912,1.8087711487088158,2.415047280017047,0.7692307692307693,False,0.0,0,0
2025-09-19,2.6820538173725614,1.7542891818833821,2.415047280017047,0.03459119496854874,False,0.0,0,0
2025-09-22,2.8139869981083123,1.7800811176205478,2.415047280017047,0.9335443037974748,False,0.0,0,0
2025-09-23,2.7676633912307533,2.8674832962138117,2.415047280017047,0.8834951456310692,False,0.0,0,0
2025-09-24,3.2712103070052265,0.9489051094890498,2.423725700603769,0.4260355029585798,False,0.0,0,0
2025-09-25,3.011201563726769,1.0951834862385301,2.423725700603769,0.1989528795811498,False,0.0,0,0
2025-09-26,2.960491637006895,2.026376860813954,2.423725700603769,0.8910614525139706,False,0.0,0,0
2025-09-29,2.9266484212430344,1.7109210087768094,2.423725700603769,0.27922077922078253,False,0.0,0,0
2025-09-30,2.888969467239673,1.2734249012956635,2.423725700603769,0.6593886462882079,False,0.0,0,0
2025-10-01,2.8232477828029876,1.7972926857012836,2.423725700603769,0.24367088607595286,False,0.0,0,0
2025-10-02,2.72622765010768,1.346898664662688,2.423725700603769,0.5107296137339081,False,0.0,0,0
2025-10-03,2.6760394067399473,2.299976942587047,2.423725700603769,0.8646616541353407,False,0.0,0,0
2025-10-06,2.832662042713983,3.0445752733389444,2.423725700603769,0.007366482504607811,False,0.0,0,0
