final_equity,total_ret_pct,cagr_pct,max_dd_pct,avg_deployed_pct,wins,stalls,soxs_pnl,target,stall,mode,sizing
143100.0,-4.6,-1.0,-78.9,73.2,574,140,-80130.0,3.0,4,soxs_recover,half_cash
292632.0,95.1,16.0,-63.5,74.5,573,140,-140550.0,3.0,4,soxs_fixed5,half_cash
56094.0,-62.6,-19.7,-70.2,82.8,546,134,-146100.0,3.0,4,soxs_lot,half_cash
485792.0,223.9,29.9,-75.6,69.7,509,106,0.0,3.0,5,none,half_cash
313977.0,109.3,17.9,-90.5,100.0,509,106,0.0,3.0,5,stop,full
171586.0,14.4,3.0,-71.2,69.9,509,106,-84008.0,3.0,5,soxs_recover,half_cash
365613.0,143.7,21.9,-65.8,70.5,509,106,-120714.0,3.0,5,soxs_fixed5,half_cash
102088.0,-31.9,-8.2,-59.4,77.2,509,105,-168659.0,3.0,5,soxs_lot,half_cash
395212.0,163.5,24.1,-79.0,65.7,446,80,0.0,3.0,7,none,half_cash
299237.0,99.5,16.6,-91.1,100.0,446,80,0.0,3.0,7,stop,full
402463.0,168.3,24.6,-66.8,64.8,444,80,-59565.0,3.0,7,soxs_recover,half_cash
398309.0,165.5,24.3,-65.8,65.1,444,80,-103365.0,3.0,7,soxs_fixed5,half_cash
146830.0,-2.1,-0.5,-56.5,72.9,435,78,-142295.0,3.0,7,soxs_lot,half_cash
420319.0,180.2,25.8,-89.4,91.0,675,633,0.0,4.0,1,none,half_cash
360794.0,140.5,21.6,-89.8,100.0,675,633,0.0,4.0,1,stop,full
193215.0,28.8,5.8,-79.9,90.6,617,571,-95343.0,4.0,1,soxs_recover,half_cash
399948.0,166.6,24.4,-74.2,90.7,635,570,-157619.0,4.0,1,soxs_fixed5,half_cash
76169.0,-49.2,-14.0,-60.7,92.7,315,306,-175341.0,4.0,1,soxs_lot,half_cash
536108.0,257.4,32.8,-84.5,84.2,546,315,0.0,4.0,2,none,half_cash
365751.0,143.8,21.9,-91.2,100.0,546,315,0.0,4.0,2,stop,full
238803.0,59.2,10.9,-78.9,83.5,538,311,-104298.0,4.0,2,soxs_recover,half_cash
311829.0,107.9,17.7,-75.6,84.0,542,310,-101570.0,4.0,2,soxs_fixed5,half_cash
136896.0,-8.7,-2.0,-51.9,89.3,409,218,-212275.0,4.0,2,soxs_lot,half_cash
477190.0,218.1,29.4,-80.9,78.6,467,199,0.0,4.0,3,none,half_cash
370061.0,146.7,22.3,-90.1,100.0,467,199,0.0,4.0,3,stop,full
241984.0,61.3,11.2,-75.9,78.7,453,196,-91819.0,4.0,3,soxs_recover,half_cash
370339.0,146.9,22.3,-65.3,78.1,464,199,-87961.0,4.0,3,soxs_fixed5,half_cash
111314.0,-25.8,-6.4,-56.4,85.3,400,174,-142640.0,4.0,3,soxs_lot,half_cash
672959.0,348.6,39.7,-77.0,74.4,447,148,0.0,4.0,4,none,half_cash
335630.0,123.8,19.6,-90.4,100.0,447,148,0.0,4.0,4,stop,full
279741.0,86.5,14.9,-67.7,74.0,446,148,-118441.0,4.0,4,soxs_recover,half_cash
312234.0,108.2,17.7,-67.0,75.1,441,147,-146142.0,4.0,4,soxs_fixed5,half_cash
110636.0,-26.2,-6.6,-47.5,82.3,420,139,-190898.0,4.0,4,soxs_lot,half_cash
553391.0,268.9,33.7,-77.2,70.6,392,113,0.0,4.0,5,none,half_cash
294059.0,96.0,16.2,-91.5,100.0,392,113,0.0,4.0,5,stop,full
182992.0,22.0,4.5,-76.1,69.7,390,113,-115155.0,4.0,5,soxs_recover,half_cash
265629.0,77.1,13.6,-68.4,71.6,392,113,-145101.0,4.0,5,soxs_fixed5,half_cash
88393.0,-41.1,-11.1,-62.1,78.3,353,110,-178263.0,4.0,5,soxs_lot,half_cash
372947.0,148.6,22.5,-77.7,66.2,346,82,0.0,4.0,7,none,half_cash
331853.0,121.2,19.3,-91.3,100.0,346,82,0.0,4.0,7,stop,full
275443.0,83.6,14.5,-75.1,64.9,344,82,-37211.0,4.0,7,soxs_recover,half_cash
485210.0,223.5,29.9,-61.4,65.0,346,82,-100416.0,4.0,7,soxs_fixed5,half_cash
123473.0,-17.7,-4.2,-62.3,74.2,326,81,-141582.0,4.0,7,soxs_lot,half_cash
