date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2024-03-15,65188.36976762103,5557.369705632199,1300,42.67,,35.0,0.0,4160.000061988831
2024-03-18,64718.675720622996,1662.675738146771,1400,42.48,51.0,35.0,455.00000417232513,4038.9999866485596
2024-03-19,63360.67583264994,1662.675738146771,1400,41.34,51.0,35.0,104.99999895691872,3927.000093460083
2024-03-20,65481.67562831032,1662.675738146771,1400,43.45,51.0,35.0,98.00000302493572,3086.9998931884766
2024-03-21,68757.67573522615,1662.675738146771,1400,46.29,51.0,35.0,76.99999958276749,2365.99999666214
2024-03-22,69044.67577820108,1662.675738146771,1400,46.41,,35.0,0.0,2408.0000400543213
2024-03-25,68206.70572043942,2063.705741301049,1400,45.87,51.0,35.0,371.000000834465,2295.9999799728394
2024-03-26,67275.70570531474,2063.705741301049,1400,44.93,51.0,35.0,90.9999992698431,2400.999963283539
2024-03-27,69235.7057259156,2063.705741301049,1400,46.53,51.0,35.0,84.0000020340085,2113.9999866485596
2024-03-28,68997.70570124673,2063.705741301049,1400,46.53,,35.0,0.0,1791.9999599456787
2024-04-01,71283.97581199692,3628.975817003716,1400,48.04,51.0,35.0,1092.00000166893,1490.99999666214
2024-04-02,69421.97581867265,3628.975817003716,1400,45.84,51.0,35.0,314.99999165534973,1931.9999933242798
2024-04-03,69904.97586477685,3628.975817003716,1400,46.2,51.0,35.0,189.00000229477882,1785.0000500679016
2024-04-04,65333.9757674052,3628.975817003716,1400,42.24,51.0,35.0,20.999999530613422,2589.9999499320984
2024-04-05,66999.9758270173,3628.975817003716,1400,43.71,,35.0,0.0,2177.0000100135803
2024-04-08,67160.5557622044,3831.5558122722996,1400,44.01,51.0,35.0,175.0,1889.9999499320984
2024-04-09,68840.5557609527,3831.5558122722996,1400,45.42,51.0,35.0,203.00000458955765,1623.9999532699585
2024-04-10,66145.5557865082,3831.5558122722996,1400,43.02,51.0,35.0,41.999999061226845,2127.999973297119
2024-04-11,69281.5558180614,3831.5558122722996,1400,45.81,51.0,35.0,34.99999921768904,1351.0000050067902
2024-04-12,64339.55583229946,3831.5558122722996,1400,41.36,,35.0,0.0,2604.0000200271606
2024-04-15,62712.7558151825,3954.7558142437233,1400,39.75,51.0,35.0,41.999999061226845,3150.0
2024-04-16,63489.75587176966,3954.7558142437233,1400,40.53,51.0,35.0,34.99999921768904,2828.000056743622
2024-04-17,59632.755881626785,3954.7558142437233,1400,36.84,51.0,35.0,27.99999937415123,4130.000066757202
2024-04-18,57854.755780865125,3954.7558142437233,1400,34.85,51.0,35.0,3.299739403429996e-46,5109.999966621399
2024-04-19,55250.75588100093,3954.7558142437233,1400,30.69,,35.0,0.0,8330.000066757202
2024-04-22,55237.91394268822,418.3135889936842,1500,32.17,51.0,35.0,110.3997178310348,6675.000071525574
2024-04-23,56701.54065197245,418.3135889936842,1500,34.16,51.0,35.0,169.27297278401042,5212.500035762787
2024-04-24,58078.56848307128,418.3135889936842,1500,35.51,51.0,35.0,14.745191753092746,4410.0000858306885
2024-04-25,59808.69628317846,418.3135889936842,1500,37.46,51.0,35.0,107.11737018823398,3307.5000643730164
2024-04-26,62180.813606875075,418.3135889936842,1500,39.75,,35.0,0.0,2137.5000178813934
2024-04-29,62967.78857019363,507.78858941613214,1500,40.65,51.0,35.0,127.50000134110451,1612.4999821186066
